"","file","chromosome","position.1","position.2","per.meth","count.c","count.t","well","sample","region","age","morph","sex","allele","allele.morph","nest","bird","bird2"
"22","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258636,2258636,0.345892526250772,28,8067,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"23","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258638,2258638,5.26570633095267,435,7826,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"24","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258647,2258647,9.71721168392878,835,7758,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"25","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258674,2258674,22.8571428571429,2312,7803,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"26","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258690,2258690,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"27","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258707,2258707,54.6586564718733,15012,12453,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"28","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258760,2258760,0.417063870352717,70,16714,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"29","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258795,2258795,0.2160475304567,36,16627,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"30","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258806,2258806,0.252585999518884,42,16586,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"31","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258813,2258813,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"32","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258830,2258830,0.207279156251905,34,16369,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"33","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258839,2258839,0.324377256870065,53,16286,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"34","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258841,2258841,2.43678442417192,398,15935,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"35","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258850,2258850,0.385062037772752,63,16298,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"36","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258852,2258852,0.29388354864385,48,16285,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"37","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258858,2258858,0.446264824550679,73,16285,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"38","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258860,2258860,0,0,2,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"39","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258863,2258863,15.0082664870492,2451,13880,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"40","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258869,2258869,0.21973997436367,36,16347,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"41","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258880,2258880,0.182904523838556,30,16372,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"42","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258884,2258884,2.46191346739793,404,16006,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"43","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258890,2258890,14.0081612765698,2300,14119,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"44","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258893,2258893,0.291686922702965,48,16408,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"45","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258906,2258906,11.5550166717187,1906,14589,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"46","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258910,2258910,0.168888352735388,28,16551,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"47","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258928,2258928,0.566015252621544,95,16689,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"48","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258937,2258937,0.433981332857737,73,16748,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"49","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258943,2258943,0.314857719954851,53,16780,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"50","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258947,2258947,0.338459711418562,57,16784,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"51","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258949,2258949,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"52","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259007,2259007,0.322542109664317,54,16688,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"53","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259027,2259027,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"54","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259042,2259042,8.31102385626748,1397,15412,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"55","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259049,2259049,23.6385111409053,7405,23921,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"56","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259053,2259053,0,0,8,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"57","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259061,2259061,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"58","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259062,2259062,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"59","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259066,2259066,0,0,56,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"60","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259082,2259082,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"61","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259083,2259083,40.5466248137227,12788,18751,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"62","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259100,2259100,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"63","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259110,2259110,6.82846565199506,996,13590,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"64","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259122,2259122,4.45344129554656,649,13924,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"65","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259150,2259150,0.619792025342607,90,14431,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"66","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259153,2259153,0.365416436845008,53,14451,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"67","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259155,2259155,0.39291376576825,57,14450,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"68","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259179,2259179,0.25027808676307,36,14348,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"69","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259207,2259207,6.93048279767804,979,13147,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"70","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259217,2259217,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"71","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259224,2259224,0.293066476054325,41,13949,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"72","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259226,2259226,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"73","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259236,2259236,5.97954366640441,836,13145,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"74","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259241,2259241,0.172711571675302,24,13872,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"75","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259250,2259250,10.2914587401461,1423,12404,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"76","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259256,2259256,0.240262104113578,33,13702,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"77","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259268,2259268,0.350824811524968,47,13350,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"78","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259270,2259270,0.299020707183973,40,13337,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"79","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259278,2259278,0.503240564239421,66,13049,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"80","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259280,2259280,0.298850574712644,39,13011,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"81","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259284,2259284,0.421973900132844,54,12743,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"82","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259293,2259293,0.237172899043403,30,12619,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"83","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259296,2259296,0.172413793103448,22,12738,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"84","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259300,2259300,0.495049504950495,63,12663,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"85","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259303,2259303,3.65730293362384,470,12381,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"86","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259312,2259312,0.211168465509151,27,12759,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"87","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259319,2259319,0.226651035560766,29,12766,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"88","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259324,2259324,0.289492215006651,37,12744,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"89","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259338,2259338,0.303596450256889,39,12807,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"90","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259341,2259341,0.226103227818494,29,12797,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"91","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259349,2259349,0.515256420578053,64,12357,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"92","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259392,2259392,0.449633193973338,57,12620,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"93","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259422,2259422,0.322556997287589,44,13597,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"94","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2259424,2259424,0.288517022504328,40,13824,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"95","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258251,2258251,29.5454545454545,13,31,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"96","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258330,2258330,38.6363636363636,17,27,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"97","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258341,2258341,41.640312038794,1975,2768,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"98","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258417,2258417,2.97927461139896,138,4494,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"99","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258431,2258431,21.4114571988673,983,3608,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"100","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258440,2258440,12.652705061082,580,4004,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"101","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258539,2258539,10.990990990991,122,988,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"102","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258541,2258541,0.777873811581677,9,1148,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"103","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258572,2258572,0.54249547920434,12,2200,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"104","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258582,2258582,0.251572327044025,6,2379,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"105","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258616,2258616,24.4963223536936,766,2361,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"106","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258619,2258619,22.0448265274793,718,2539,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"107","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258627,2258627,1.69442009932807,58,3365,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"108","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258632,2258632,9.62877030162413,332,3116,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"109","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258636,2258636,9.08826945412311,313,3131,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"110","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258638,2258638,1.56119319765821,56,3531,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"111","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258647,2258647,17.1833244254409,643,3099,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"112","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258674,2258674,10.2514087559601,473,4141,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"113","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258696,2258696,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"114","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258707,2258707,53.3100577413724,7940,6954,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
"115","B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258760,2258760,6.74023262749776,678,9381,"B10","9","HYP","Adult","White","f","ZAL2m","ZAL2m-WS","CA","WSF13-08","WSF13-08"
