file	well	sample	region	age	morph	sex	allele	allele.morph	nest	bird
F5-N3_S44_genome2_allele_3XC.gz.bismark.cov.gz	F5	44	HYPv	Chick	Tan	f	unk	ZAL2-TS	C10-01	N3-C10-01
F7-N4_S46_genome2_allele_3XC.gz.bismark.cov.gz	F7	46	HYPv	Chick	Tan	m	unk	ZAL2-TS	C10-01	N4-C10-01
F9-N1_S48_genome2_allele_3XC.gz.bismark.cov.gz	F9	48	HYPv	Chick	Tan	m	unk	ZAL2-TS	C10-12	N1-C10-12
G10-23711_S59_genome2_allele_3XC.gz.bismark.cov.gz	G10	none	HYP	Adult	Tan	m	unk	ZAL2-TS	AN	23711
G4-N2_S53_genome2_allele_3XC.gz.bismark.cov.gz	G4	53	HYPv	Chick	Tan	f	unk	ZAL2-TS	C10-12	N2-C10-12
G5-23607_S54_genome2_allele_3XC.gz.bismark.cov.gz	G5	none	HYP	Adult	Tan	m	unk	ZAL2-TS	J	23607
G6-23610_S55_genome2_allele_3XC.gz.bismark.cov.gz	G6 	none	HYP	Adult	Tan	m	unk	ZAL2-TS	P	23610
G7-23615_S56_genome2_allele_3XC.gz.bismark.cov.gz	G7	none	HYP	Adult	Tan	m	unk	ZAL2-TS	V	23615
G8-23620_S57_genome2_allele_3XC.gz.bismark.cov.gz	G8	none	HYP	Adult	Tan	m	unk	ZAL2-TS	AB	23620
G9-23705_S58_genome2_allele_3XC.gz.bismark.cov.gz	G9	none	HYP	Adult	Tan	m	unk	ZAL2-TS	AK	23705
B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz	B10	9	HYP	Adult	White	f	ZAL2	ZAL2-WS	CA	WSF13-08
B11-23614_S10_genome1_allele_3XC.gz.bismark.cov.gz	B11	10	HYP	Adult	White	f	ZAL2	ZAL2-WS	S	23614
B2-23602_S1_genome1_allele_3XC.gz.bismark.cov.gz	B2	1	HYP	Adult	White	m	ZAL2	ZAL2-WS	G	23602
B3-23617_S2_genome1_allele_3XC.gz.bismark.cov.gz	B3	2	HYP	Adult	White	m	ZAL2	ZAL2-WS	Y	23617
B4-23540_S3_genome1_allele_3XC.gz.bismark.cov.gz	B4	3	HYP	Adult	White	m	ZAL2	ZAL2-WS	A	23540
B5-23712_S4_genome1_allele_3XC.gz.bismark.cov.gz	B5	4	HYP	Adult	White	f	ZAL2	ZAL2-WS	AQ	23712
B6-23608_S5_genome1_allele_3XC.gz.bismark.cov.gz	B6	5	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	M	23608
B7-23623_S6_genome1_allele_3XC.gz.bismark.cov.gz	B7	6	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	AE	23623
B8-23626_S7_genome1_allele_3XC.gz.bismark.cov.gz	B8	7	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	AH	23626
B9-WSF13-06_S8_genome1_allele_3XC.gz.bismark.cov.gz	B9	8	HYP	Adult	White	f	ZAL2	ZAL2-WS	BU	WSF13-06
C10-WSF13-02_S19_genome1_allele_3XC.gz.bismark.cov.gz	C10	19	HYP	Adult	White	f	ZAL2	ZAL2-WS	BI	WSF13-02
C11-WSF13-07_S20_genome1_allele_3XC.gz.bismark.cov.gz	C11	20	HYP	Adult	White	f	ZAL2	ZAL2-WS	BX	WSF13-07
C2-TSF-13-06_S11_genome1_allele_3XC.gz.bismark.cov.gz	C2	11	HYP	Adult	Tan	f	ZAL2	ZAL2-TS	BF	TSF13-06
C3-TSF13-03_S12_genome1_allele_3XC.gz.bismark.cov.gz	C3	12	HYP	Adult	Tan	f	ZAL2	ZAL2-TS	AZ	TSF-13-03
C4-TSF13-05_S13_genome1_allele_3XC.gz.bismark.cov.gz	C4	13	HYP	Adult	Tan	f	ZAL2	ZAL2-TS	BC	TSF13-05
C5-WSF13-05_S14_genome1_allele_3XC.gz.bismark.cov.gz	C5	14	HYP	Adult	White	f	ZAL2	ZAL2-WS	BI	WSF-13-05
C6-WSF13-04_S15_genome1_allele_3XC.gz.bismark.cov.gz	C6	15	HYP	Adult	White	f	ZAL2	ZAL2-WS	BO	WSF13-04
C7-TSF13-02_S16_genome1_allele_3XC.gz.bismark.cov.gz	C7	16	HYP	Adult	Tan	f	ZAL2	ZAL2-TS	AW	TSF13-02
C8-WSF13-03_S17_genome1_allele_3XC.gz.bismark.cov.gz	C8	17	HYP	Adult	White	f	ZAL2	ZAL2-WS	BL	WSF13-03
C9-TSF13-01_S18_genome1_allele_3XC.gz.bismark.cov.gz	C9	18	HYP	Adult	Tan	f	ZAL2	ZAL2-TS	AT	TSF13-01
D10-N3_S29_genome1_allele_3XC.gz.bismark.cov.gz	D10	29	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-12	N3-C10-12
D11-N1_S30_genome1_allele_3XC.gz.bismark.cov.gz	D11	30	HYPd	Chick	Tan	m	ZAL2	ZAL2-TS	C10-12	N1-C10-12
D2-N2_S21_genome1_allele_3XC.gz.bismark.cov.gz	D2	21	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-01	N2-C10-01
D3-N1_S22_genome1_allele_3XC.gz.bismark.cov.gz	D3	22	HYPd	Chick	Tan	f	ZAL2	ZAL2-TS	C10-10	N1-C10-10
D4-N1_S23_genome1_allele_3XC.gz.bismark.cov.gz	D4	23	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-08	C10-08-RN-N1
D5-N1_S24_genome1_allele_3XC.gz.bismark.cov.gz	D5	24	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-01	N1-C10-01
D6-N3_S25_genome1_allele_3XC.gz.bismark.cov.gz	D6	25	HYPd	Chick	Tan	f	ZAL2	ZAL2-TS	C10-01	N3-C10-01
D7-N4_S26_genome1_allele_3XC.gz.bismark.cov.gz	D7	26	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-12	N4-C10-12
D8-N4_S27_genome1_allele_3XC.gz.bismark.cov.gz	D8	27	HYPd	Chick	Tan	m	ZAL2	ZAL2-TS	C10-01	N4-C10-01
D9-N1_S28_genome1_allele_3XC.gz.bismark.cov.gz	D9	28	HYPd	Chick	Tan	f	ZAL2	ZAL2-TS	C10-19	N1-C10-19
E10-N3_S39_genome1_allele_3XC.gz.bismark.cov.gz	E10	39	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-19	N3-C10-19
E11-N1_S40_genome1_allele_3XC.gz.bismark.cov.gz	E11	40	HYPv	Chick	Tan	f	ZAL2	ZAL2-TS	C10-10	N1-C10-10
E2-N2_S31_genome1_allele_3XC.gz.bismark.cov.gz	E2	31	HYPd	Chick	Tan	m	ZAL2	ZAL2-TS	C10-10	N2-C10-10
E3-N1_S32_genome1_allele_3XC.gz.bismark.cov.gz	E3	32	HYPd	Chick	White	m	ZAL2	ZAL2-WS	C10-24	N1-C10-24
E4-N3_S33_genome1_allele_3XC.gz.bismark.cov.gz	E4	33	HYPd	Chick	White	f	ZAL2	ZAL2-WS	C10-24	N3-C10-24
E5-N3_S34_genome1_allele_3XC.gz.bismark.cov.gz	E5	34	HYPd	Chick	Tan	f	ZAL2	ZAL2-TS	C10-10	N3-C10-10
E6-N2_S35_genome1_allele_3XC.gz.bismark.cov.gz	E6	35	HYPd	Chick	Tan	f	ZAL2	ZAL2-TS	C10-12	N2-C10-12
E7-N2_S36_genome1_allele_3XC.gz.bismark.cov.gz	E7	36	HYPd	Chick	White	m	ZAL2	ZAL2-WS	C10-19	N2-C10-19
E8-N2_S37_genome1_allele_3XC.gz.bismark.cov.gz	E8	37	HYPd	Chick	White	m	ZAL2	ZAL2-WS	C10-24	N2-C10-24
E9-N4_S38_genome1_allele_3XC.gz.bismark.cov.gz	E9	38	HYPd	Chick	White	m	ZAL2	ZAL2-WS	C10-24	N4-C10-24
F10-N3_S49_genome1_allele_3XC.gz.bismark.cov.gz	F10	49	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-24	N3-C10-24
F11-N3_S50_genome1_allele_3XC.gz.bismark.cov.gz	F11	50	HYPv	Chick	Tan	f	ZAL2	ZAL2-TS	C10-10	N3-C10-10
F2-N2_S41_genome1_allele_3XC.gz.bismark.cov.gz	F2	41	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-01	N2-C10-01
F3-N1_S42_genome1_allele_3XC.gz.bismark.cov.gz	F3	42	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-08	C10-08-RN-N1-2
F4-N1_S43_genome1_allele_3XC.gz.bismark.cov.gz	F4	43	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-01	N1-C10-01
F5-N3_S44_genome1_allele_3XC.gz.bismark.cov.gz	F5	44	HYPv	Chick	Tan	f	ZAL2	ZAL2-TS	C10-01	N3-C10-01
F6-N4_S45_genome1_allele_3XC.gz.bismark.cov.gz	F6	45	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-12	N4-C10-12
F7-N4_S46_genome1_allele_3XC.gz.bismark.cov.gz	F7	46	HYPv	Chick	Tan	m	ZAL2	ZAL2-TS	C10-01	N4-C10-01
F8-N3_S47_genome1_allele_3XC.gz.bismark.cov.gz	F8	47	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-19	N3-C10-19
F9-N1_S48_genome1_allele_3XC.gz.bismark.cov.gz	F9	48	HYPv	Chick	Tan	m	ZAL2	ZAL2-TS	C10-12	N1-C10-12
G10-23711_S59_genome1_allele_3XC.gz.bismark.cov.gz	G10	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	AN	23711
G11-23596_S60_genome1_allele_3XC.gz.bismark.cov.gz	G11	none	HYP	Adult	White	m	ZAL2	ZAL2-WS	B	23596
G2-N1_S51_genome1_allele_3XC.gz.bismark.cov.gz	G2	51	HYPv	Chick	White	m	ZAL2	ZAL2-WS	C10-24	N1-C10-24
G3-N3_S52_genome1_allele_3XC.gz.bismark.cov.gz	G3	52	HYPv	Chick	White	f	ZAL2	ZAL2-WS	C10-12	N3-C10-12
G4-N2_S53_genome1_allele_3XC.gz.bismark.cov.gz	G4	53	HYPv	Chick	Tan	f	ZAL2	ZAL2-TS	C10-12	N2-C10-12
G5-23607_S54_genome1_allele_3XC.gz.bismark.cov.gz	G5	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	J	23607
G6-23610_S55_genome1_allele_3XC.gz.bismark.cov.gz	G6 	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	P	23610
G7-23615_S56_genome1_allele_3XC.gz.bismark.cov.gz	G7	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	V	23615
G8-23620_S57_genome1_allele_3XC.gz.bismark.cov.gz	G8	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	AB	23620
G9-23705_S58_genome1_allele_3XC.gz.bismark.cov.gz	G9	none	HYP	Adult	Tan	m	ZAL2	ZAL2-TS	AK	23705
B10-WSF13-08_S9_genome2_allele_3XC.gz.bismark.cov.gz	B10	9	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	CA	WSF13-08
B11-23614_S10_genome2_allele_3XC.gz.bismark.cov.gz	B11	10	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	S	23614
B2-23602_S1_genome2_allele_3XC.gz.bismark.cov.gz	B2	1	HYP	Adult	White	m	ZAL2m	ZAL2m-WS	G	23602
B3-23617_S2_genome2_allele_3XC.gz.bismark.cov.gz	B3	2	HYP	Adult	White	m	ZAL2m	ZAL2m-WS	Y	23617
B4-23540_S3_genome2_allele_3XC.gz.bismark.cov.gz	B4	3	HYP	Adult	White	m	ZAL2m	ZAL2m-WS	A	23540
B5-23712_S4_genome2_allele_3XC.gz.bismark.cov.gz	B5	4	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	AQ	23712
B9-WSF13-06_S8_genome2_allele_3XC.gz.bismark.cov.gz	B9	8	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BU	WSF13-06
C10-WSF13-02_S19_genome2_allele_3XC.gz.bismark.cov.gz	C10	19	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BI	WSF13-02
C11-WSF13-07_S20_genome2_allele_3XC.gz.bismark.cov.gz	C11	20	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BX	WSF13-07
C5-WSF13-05_S14_genome2_allele_3XC.gz.bismark.cov.gz	C5	14	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BR	WSF-13-05
C6-WSF13-04_S15_genome2_allele_3XC.gz.bismark.cov.gz	C6	15	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BO	WSF13-04
C8-WSF13-03_S17_genome2_allele_3XC.gz.bismark.cov.gz	C8	17	HYP	Adult	White	f	ZAL2m	ZAL2m-WS	BL	WSF13-03
D10-N3_S29_genome2_allele_3XC.gz.bismark.cov.gz	D10	29	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-12	N3-C10-12
D2-N2_S21_genome2_allele_3XC.gz.bismark.cov.gz	D2	21	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-01	N2-C10-01
D4-N1_S23_genome2_allele_3XC.gz.bismark.cov.gz	D4	23	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-08	C10-08-RN-N1
D5-N1_S24_genome2_allele_3XC.gz.bismark.cov.gz	D5	24	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-01	N1-C10-01
D7-N4_S26_genome2_allele_3XC.gz.bismark.cov.gz	D7	26	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-12	N4-C10-12
E10-N3_S39_genome2_allele_3XC.gz.bismark.cov.gz	E10	39	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-19	N3-C10-19
E3-N1_S32_genome2_allele_3XC.gz.bismark.cov.gz	E3	32	HYPd	Chick	White	m	ZAL2m	ZAL2m-WS	C10-24	N1-C10-24
E4-N3_S33_genome2_allele_3XC.gz.bismark.cov.gz	E4	33	HYPd	Chick	White	f	ZAL2m	ZAL2m-WS	C10-24	N3-C10-24
E7-N2_S36_genome2_allele_3XC.gz.bismark.cov.gz	E7	36	HYPd	Chick	White	m	ZAL2m	ZAL2m-WS	C10-19	N2-C10-19
E8-N2_S37_genome2_allele_3XC.gz.bismark.cov.gz	E8	37	HYPd	Chick	White	m	ZAL2m	ZAL2m-WS	C10-24	N2-C10-24
E9-N4_S38_genome2_allele_3XC.gz.bismark.cov.gz	E9	38	HYPd	Chick	White	m	ZAL2m	ZAL2m-WS	C10-24	N4-C10-24
F10-N3_S49_genome2_allele_3XC.gz.bismark.cov.gz	F10	49	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-24	N3-C10-24
F2-N2_S41_genome2_allele_3XC.gz.bismark.cov.gz	F2	41	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-01	N2-C10-01
F3-N1_S42_genome2_allele_3XC.gz.bismark.cov.gz	F3	42	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-08	C10-08-RN-N1-2
F4-N1_S43_genome2_allele_3XC.gz.bismark.cov.gz	F4	43	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-01	N1-C10-01
F6-N4_S45_genome2_allele_3XC.gz.bismark.cov.gz	F6	45	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-12	N4-C10-12
F8-N3_S47_genome2_allele_3XC.gz.bismark.cov.gz	F8	47	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-19	N3-C10-19
G11-23596_S60_genome2_allele_3XC.gz.bismark.cov.gz	G11	none	HYP	Adult	White	m	ZAL2m	ZAL2m-WS	B	23596
G2-N1_S51_genome2_allele_3XC.gz.bismark.cov.gz	G2	51	HYPv	Chick	White	m	ZAL2m	ZAL2m-WS	C10-24	N1-C10-24
G3-N3_S52_genome2_allele_3XC.gz.bismark.cov.gz	G3	52	HYPv	Chick	White	f	ZAL2m	ZAL2m-WS	C10-12	N3-C10-12
